"Time","Digital_FlowMeter","Real_FlowMeter"
"2019-01-13 20:46:50","67.4000","67.4000"
"2019-01-13 20:46:51","67.4000","67.4000"
"2019-01-13 20:46:52","67.4000","67.4000"
"2019-01-13 20:46:53","67.4000","67.4000"
"2019-01-13 20:46:54","67.4000","67.4000"
"2019-01-13 20:46:55","67.4000","67.4000"
"2019-01-13 20:46:56","67.4000","67.4000"
"2019-01-13 20:46:57","67.4000","67.4000"
"2019-01-13 20:46:58","67.4000","67.4000"
"2019-01-13 20:46:59","67.4000","67.4000"
"2019-01-13 20:47:00","67.4000","67.4000"
"2019-01-13 20:47:01","67.4000","67.4000"
"2019-01-13 20:47:02","67.4000","67.4000"
"2019-01-13 20:47:03","67.4000","67.4000"
"2019-01-13 20:47:04","67.4000","67.4000"
"2019-01-13 20:47:05","67.4000","67.4000"
"2019-01-13 20:47:06","67.4000","67.4000"
"2019-01-13 20:47:07","67.4000","67.4000"
"2019-01-13 20:47:08","67.4000","67.4000"
"2019-01-13 20:47:09","67.4000","67.4000"
"2019-01-13 20:47:10","67.4000","67.4000"
"2019-01-13 20:47:11","67.4000","67.4000"
"2019-01-13 20:47:12","67.4000","67.4000"
"2019-01-13 20:47:13","67.4000","67.4000"
"2019-01-13 20:47:14","67.4000","67.4000"
"2019-01-13 20:47:15","67.4000","67.4000"
"2019-01-13 20:47:16","67.4000","67.4000"
"2019-01-13 20:47:17","67.4000","67.4000"
"2019-01-13 20:47:18","67.4000","67.4000"
"2019-01-13 20:47:19","67.4000","67.4000"
"2019-01-13 20:47:20","67.4000","67.4000"
"2019-01-13 20:47:21","67.4000","67.4000"
"2019-01-13 20:47:22","67.4000","67.4000"
"2019-01-13 20:47:23","67.4000","67.4000"
"2019-01-13 20:47:24","67.4000","67.4000"
"2019-01-13 20:47:25","67.4000","67.4000"
"2019-01-13 20:47:26","67.4000","67.4000"
"2019-01-13 20:47:27","67.4000","67.4000"
"2019-01-13 20:47:28","67.4000","67.4000"
"2019-01-13 20:47:29","67.4000","67.4000"
"2019-01-13 20:47:30","67.4000","67.4000"
"2019-01-13 20:47:31","67.4000","67.4000"
"2019-01-13 20:47:32","67.4000","67.4000"
"2019-01-13 20:47:33","67.4000","67.4000"
"2019-01-13 20:47:34","67.4000","67.4000"
"2019-01-13 20:47:35","67.4000","67.4000"
"2019-01-13 20:47:36","67.4000","67.4000"
"2019-01-13 21:10:47","67.4000","61.4000"
"2019-01-13 21:10:48","67.4000","63.4000"
"2019-01-13 21:10:49","67.4000","59.4000"
"2019-01-13 21:10:50","67.4000","60.4000"
"2019-01-13 21:10:51","67.4000","60.4000"
"2019-01-13 21:10:52","67.4000","62.4000"
"2019-01-13 21:10:53","67.4000","64.4000"
"2019-01-13 21:10:54","67.4000","64.4000"
"2019-01-13 21:10:55","67.4000","60.4000"
"2019-01-13 21:10:56","67.4000","59.4000"
"2019-01-13 21:10:57","67.4000","62.4000"
"2019-01-13 21:10:58","67.4000","60.4000"
"2019-01-13 21:10:59","67.4000","64.4000"
"2019-01-13 21:11:00","67.4000","61.4000"
"2019-01-13 21:11:01","67.4000","66.4000"
"2019-01-13 21:11:02","67.4000","63.4000"
"2019-01-13 21:11:03","67.4000","60.4000"
"2019-01-13 21:11:04","67.4000","58.4000"
"2019-01-13 22:44:17","67.4000","67.4000"
"2019-01-13 22:44:18","67.4000","67.4000"
"2019-01-13 22:44:19","67.4000","67.4000"
"2019-01-13 22:44:20","67.4000","67.4000"
"2019-01-13 22:44:21","67.4000","67.4000"
"2019-01-13 22:44:22","67.4000","67.4000"
"2019-01-13 22:44:23","67.4000","67.4000"
"2019-01-13 22:44:24","67.4000","67.4000"
"2019-01-13 22:44:25","67.4000","67.4000"
"2019-01-13 22:44:26","67.4000","67.4000"
"2019-01-13 22:44:27","67.4000","67.4000"
"2019-01-13 22:44:28","67.4000","67.4000"
"2019-01-13 22:44:29","67.4000","67.4000"
"2019-01-13 22:44:30","67.4000","67.4000"
"2019-01-13 22:44:31","67.4000","67.4000"
"2019-01-13 22:44:32","67.4000","67.4000"
"2019-01-13 22:44:33","67.4000","67.4000"
"2019-01-13 22:44:34","67.4000","67.4000"
"2019-01-16 10:30:47","67.4000","67.4000"
"2019-01-16 10:30:48","67.4000","67.4000"
"2019-01-16 10:30:49","67.4000","67.4000"
"2019-01-16 10:30:50","67.4000","67.4000"
"2019-01-16 10:30:51","67.4000","67.4000"
"2019-01-16 10:30:52","67.4000","67.4000"
"2019-01-16 10:30:53","67.4000","67.4000"
"2019-01-16 10:30:54","67.4000","67.4000"
"2019-01-16 10:30:55","67.4000","67.4000"
"2019-01-16 10:30:56","67.4000","67.4000"
"2019-01-16 10:30:57","67.4000","67.4000"
"2019-01-16 10:30:58","67.4000","67.4000"
"2019-01-16 10:30:59","67.4000","67.4000"
"2019-01-16 13:03:01","58.4000","67.4000"
